"Largura Altura",700-750,751-800,801-850,851-900,901-950,951-1000,1001-1050,1051-1100,1101-1150,1151-1200
1800-1850,"181,76","189,33","196,91","204,48","219,63","227,2","234,77","242,35","247,76","255,33"
1851-1900,"186,09","193,66","200,15","207,72","223,95","231,53","238,02","246,67","254,25","261,82"
1901-1950,"190,41","197,99","205,56","213,13","228,28","235,85","244,51","252,08","259,66",0
1951-2000,"193,66","201,23","208,81","216,38","233,69","241,26","249,92","256,41","263,98",0
2001-2050,"196,91","204,48","213,13","219,63","236,94","244,51","253,16","260,74",0,0
2015-2100,"200,15","208,81","216,38","225,04","241,26","249,92","256,41","265,07",0,0
2101-2150,"204,48","213,13","221,79","229,36","245,59","254,25","262,9","270,48",0,0
2151-2200,"207,72","216,38","225,04","233,69","249,92","257,49","266,15","274,8",0,0
2201-2250,"210,97","219,63","228,28","236,94","254,25","262,9","270,48","280,21",0,0
2251-2300,"215,3","223,95","232,61","241,26","257,49","266,15","274,8",0,0,0
2301-2350,"219,63","200,15","236,94","245,59","259,66","272,64","282,38",0,0,0
2351-2400,"227,2","236,94","245,59","255,33","263,98","278,05",0,0,0,0
2401-2450,"231,53","241,26","249,92","259,66","267,23","281,29",0,0,0,0
2451-2500,"234,77","244,51","253,16","262,9","272,64",0,0,0,0,0